rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
26,0.476875,0.0,0.4955461790904829,0.0,0.06359195709228516,0.0,0.004505157470703125,0.0,3,100,100,"{'model__max_depth': 3, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.476875,0.4955461790904829
29,0.473125,0.0,0.5016408813877168,0.0,0.04662823677062988,0.0,0.004132747650146484,0.0,6,1,100,"{'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.473125,0.5016408813877168
30,0.445625,0.0,0.46772933270823563,0.0,0.08186125755310059,0.0,0.0036001205444335938,0.0,10,1,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.445625,0.46772933270823563
31,0.43625,0.0,0.44975777465228944,0.0,0.09825515747070312,0.0,0.0029969215393066406,0.0,4,1,2,"{'model__max_depth': 4, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.43625,0.44975777465228944
32,0.43375,0.0,0.4472573839662447,0.0,0.06984686851501465,0.0,0.003458738327026367,0.0,4,1,30,"{'model__max_depth': 4, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.43375,0.4472573839662447
32,0.43375,0.0,0.4472573839662447,0.0,0.04751300811767578,0.0,0.003998279571533203,0.0,4,1,100,"{'model__max_depth': 4, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.43375,0.4472573839662447
34,0.42875,0.0,0.450070323488045,0.0,0.05138373374938965,0.0,0.003995180130004883,0.0,7,30,2,"{'model__max_depth': 7, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.42875,0.450070323488045
34,0.42875,0.0,0.450070323488045,0.0,0.06266140937805176,0.0,0.0029993057250976562,0.0,7,30,30,"{'model__max_depth': 7, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.42875,0.450070323488045
36,0.42125,0.0,0.45585247694952336,0.0,0.06791043281555176,0.0,0.004887580871582031,0.0,8,1,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.42125,0.45585247694952336
37,0.41625,0.0,0.4353805282075324,0.0,0.09290838241577148,0.0,0.008305549621582031,0.0,7,30,100,"{'model__max_depth': 7, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.41625,0.4353805282075324
38,0.4125,0.0,0.43959993749023285,0.0,0.05376124382019043,0.0,0.012038230895996094,0.0,8,1,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.4125,0.43959993749023285
39,0.41125,0.0,0.4233473980309424,0.0,0.0477147102355957,0.0,0.0029556751251220703,0.0,10,100,2,"{'model__max_depth': 10, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.41125,0.4233473980309424
39,0.41125,0.0,0.4233473980309424,0.0,0.06146526336669922,0.0,0.003999471664428711,0.0,10,100,30,"{'model__max_depth': 10, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.41125,0.4233473980309424
39,0.41125,0.0,0.4233473980309424,0.0,0.0517573356628418,0.0,0.004521608352661133,0.0,10,100,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.41125,0.4233473980309424
42,0.40375,0.0,0.45382090951711207,0.0,0.08193016052246094,0.0,0.0030035972595214844,0.0,10,30,2,"{'model__max_depth': 10, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.40375,0.45382090951711207
42,0.40375,0.0,0.45382090951711207,0.0,0.07972550392150879,0.0,0.0037221908569335938,0.0,10,30,30,"{'model__max_depth': 10, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.40375,0.45382090951711207
44,0.3943749999999999,0.0,0.42522269104547583,0.0,0.06955790519714355,0.0,0.005007743835449219,0.0,9,30,2,"{'model__max_depth': 9, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.3943749999999999,0.42522269104547583
44,0.3943749999999999,0.0,0.42522269104547583,0.0,0.05501151084899902,0.0,0.021929264068603516,0.0,9,30,30,"{'model__max_depth': 9, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.3943749999999999,0.42522269104547583
46,0.3925,0.0,0.4074074074074074,0.0,0.04957151412963867,0.0,0.003003835678100586,0.0,7,100,2,"{'model__max_depth': 7, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.3925,0.4074074074074074
46,0.3925,0.0,0.4074074074074074,0.0,0.056891679763793945,0.0,0.0040035247802734375,0.0,7,100,30,"{'model__max_depth': 7, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.3925,0.4074074074074074
46,0.3925,0.0,0.4074074074074074,0.0,0.05582618713378906,0.0,0.004984855651855469,0.0,7,100,100,"{'model__max_depth': 7, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.3925,0.4074074074074074
49,0.3875,0.0,0.4156899515549304,0.0,0.0850379467010498,0.0,0.0030007362365722656,0.0,8,1,100,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.3875,0.4156899515549304
50,0.378125,0.0,0.4047507423034849,0.0,0.08508753776550293,0.0,0.014227628707885742,0.0,9,30,100,"{'model__max_depth': 9, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.378125,0.4047507423034849
51,0.37625,0.0,0.392561337709017,0.0,0.055945634841918945,0.0,0.0029993057250976562,0.0,9,100,2,"{'model__max_depth': 9, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.37625,0.392561337709017
51,0.37625,0.0,0.392561337709017,0.0,0.0589599609375,0.0,0.004441738128662109,0.0,9,100,30,"{'model__max_depth': 9, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.37625,0.392561337709017
51,0.37625,0.0,0.392561337709017,0.0,0.06508994102478027,0.0,0.0036907196044921875,0.0,9,100,100,"{'model__max_depth': 9, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.37625,0.392561337709017
54,0.3725,0.0,0.41365838412251915,0.0,0.07358384132385254,0.0,0.004028797149658203,0.0,10,30,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.3725,0.41365838412251915
55,0.36687500000000006,0.0,0.3852164400687607,0.0,0.07120847702026367,0.0,0.0030014514923095703,0.0,8,100,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.36687500000000006,0.3852164400687607
55,0.36687500000000006,0.0,0.3852164400687607,0.0,0.052175045013427734,0.0,0.0035266876220703125,0.0,8,100,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.36687500000000006,0.3852164400687607
55,0.36687500000000006,0.0,0.3852164400687607,0.0,0.05854463577270508,0.0,0.003999948501586914,0.0,8,100,100,"{'model__max_depth': 8, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.36687500000000006,0.3852164400687607
58,0.3637500000000001,0.0,0.3989685888420066,0.0,0.0511775016784668,0.0,0.003815889358520508,0.0,8,30,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.3637500000000001,0.3989685888420066
58,0.3637500000000001,0.0,0.3989685888420066,0.0,0.05586361885070801,0.0,0.0040051937103271484,0.0,8,30,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.3637500000000001,0.3989685888420066
60,0.35687500000000005,0.0,0.38834192842631654,0.0,0.04720425605773926,0.0,0.005003213882446289,0.0,6,30,2,"{'model__max_depth': 6, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.35687500000000005,0.38834192842631654
60,0.35687500000000005,0.0,0.38834192842631654,0.0,0.04867219924926758,0.0,0.003992557525634766,0.0,6,30,30,"{'model__max_depth': 6, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.35687500000000005,0.38834192842631654
62,0.351875,0.0,0.3814658540396937,0.0,0.045203208923339844,0.0,0.003000974655151367,0.0,6,30,100,"{'model__max_depth': 6, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.351875,0.3814658540396937
63,0.3475,0.0,0.3784966401000156,0.0,0.08063101768493652,0.0,0.003744363784790039,0.0,8,30,100,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.3475,0.3784966401000156
64,0.334375,0.0,0.36083763087982496,0.0,0.059275150299072266,0.0,0.0040090084075927734,0.0,5,30,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.334375,0.36083763087982496
65,0.33375,0.0,0.3611501797155805,0.0,0.04817605018615723,0.0,0.003996133804321289,0.0,5,30,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.33375,0.3611501797155805
65,0.33375,0.0,0.3611501797155805,0.0,0.0897977352142334,0.0,0.00400543212890625,0.0,5,30,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.33375,0.3611501797155805
67,0.32,0.0,0.34474136583841225,0.0,0.054145097732543945,0.0,0.004225492477416992,0.0,6,100,2,"{'model__max_depth': 6, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.32,0.34474136583841225
67,0.32,0.0,0.34474136583841225,0.0,0.0495450496673584,0.0,0.003999471664428711,0.0,6,100,30,"{'model__max_depth': 6, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.32,0.34474136583841225
67,0.32,0.0,0.34474136583841225,0.0,0.055413007736206055,0.0,0.0037500858306884766,0.0,6,100,100,"{'model__max_depth': 6, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.32,0.34474136583841225
70,0.29,0.0,0.3083294264728864,0.0,0.06266164779663086,0.0,0.004999876022338867,0.0,5,100,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.29,0.3083294264728864
70,0.29,0.0,0.3083294264728864,0.0,0.05822157859802246,0.0,0.01000356674194336,0.0,5,100,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.29,0.3083294264728864
70,0.29,0.0,0.3083294264728864,0.0,0.042493581771850586,0.0,0.005212306976318359,0.0,5,100,100,"{'model__max_depth': 5, 'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.29,0.3083294264728864
73,0.034375,0.0,0.0379746835443038,0.0,0.04054379463195801,0.0,0.02267909049987793,0.0,1,1,2,"{'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.020470619201660156,0.0,0.008675575256347656,0.0,1,1,30,"{'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.034010887145996094,0.0,0.00539851188659668,0.0,1,1,100,"{'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.023632526397705078,0.0,0.003983497619628906,0.0,1,30,2,"{'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.016959190368652344,0.0,0.004026651382446289,0.0,1,30,30,"{'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.019473552703857422,0.0,0.008675575256347656,0.0,1,30,100,"{'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 100}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.02665233612060547,0.0,0.006001949310302734,0.0,1,100,2,"{'model__max_depth': 1, 'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.034375,0.0379746835443038
73,0.034375,0.0,0.0379746835443038,0.0,0.018085002899169922,0.0,0.0042705535888671875,0.0,1,100,30,"{'model__max_depth': 1, 'model__min_samples_leaf': 100, 'model__min_samples_split': 30}",0.034375,0.0379746835443038
